id,title,description,provider,category,level,duration,url,embed_url,thumbnail,language,tags,rating,created_at
1,Complete Web Development Bootcamp,"Full-stack web development course covering HTML, CSS, JavaScript, React, Node.js",freeCodeCamp,Web Development,Beginner,40 hours,https://www.freecodecamp.org/learn/responsive-web-design/,https://www.youtube.com/embed/pQN-pnXPaVg,https://img.youtube.com/vi/pQN-pnXPaVg/maxresdefault.jpg,English,"HTML,CSS,JavaScript,React,Node.js",4.8,2024-01-01
2,React Tutorial for Beginners,Complete React.js tutorial from basics to advanced concepts,Programming with Mosh,Web Development,Beginner,6 hours,https://youtu.be/SqcY0GlETPk,https://www.youtube.com/embed/SqcY0GlETPk,https://img.youtube.com/vi/SqcY0GlETPk/maxresdefault.jpg,English,"React,JavaScript,Frontend",4.7,2024-01-02
3,Node.js Full Course,Complete Node.js tutorial covering backend development,freeCodeCamp,Web Development,Intermediate,8 hours,https://youtu.be/RLtyhiShda8,https://www.youtube.com/embed/RLtyhiShda8,https://img.youtube.com/vi/RLtyhiShda8/maxresdefault.jpg,English,"Node.js,Backend,API",4.6,2024-01-03
4,Python for Data Science,"Complete Python data science course with pandas, numpy, matplotlib",Kaggle Learn,Data Science,Beginner,20 hours,https://www.kaggle.com/learn/python,,https://storage.googleapis.com/kaggle-learn/images/python-course.png,English,"Python,Pandas,NumPy,Data Analysis",4.5,2024-01-04
5,Machine Learning Course,Complete machine learning course by Andrew Ng,Stanford Online,Data Science,Intermediate,60 hours,https://www.coursera.org/learn/machine-learning,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/ZR6TuCT5Eeijuw4zN2SHVw_7c7095c7e6d147a192a98897b5b1e8da_machineLearning_large_icon.png,English,"Machine Learning,Python,AI",4.9,2024-01-05
6,Data Analysis with Python,Complete data analysis course using Python libraries,freeCodeCamp,Data Science,Beginner,10 hours,https://youtu.be/r-uOLxNrNk8,https://www.youtube.com/embed/r-uOLxNrNk8,https://img.youtube.com/vi/r-uOLxNrNk8/maxresdefault.jpg,English,"Python,Data Analysis,Pandas",4.4,2024-01-06
7,Deep Learning Specialization,Complete deep learning course covering neural networks,deeplearning.ai,AI,Advanced,80 hours,https://www.coursera.org/specializations/deep-learning,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/nDQFT6CCSJqtv8MHUZsrAw_5bb9d82b5e1c4c00b8b66fa9d37c8dde_DL-Logo-Purple.png,English,"Deep Learning,Neural Networks,TensorFlow",4.8,2024-01-07
8,AI for Everyone,Non-technical introduction to artificial intelligence,deeplearning.ai,AI,Beginner,12 hours,https://www.coursera.org/learn/ai-for-everyone,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/pBgAAoHrEem02xI9cMStXA_89e9a83c7d9045c9b5c7c3a6b5b2b9dc_AI-for-Everyone-Logo.png,English,"AI,Machine Learning,Business",4.7,2024-01-08
9,CS50: Introduction to Computer Science,Harvard's introduction to computer science,Harvard University,Computer Science,Beginner,50 hours,https://cs50.harvard.edu/x/2024/,https://www.youtube.com/embed/8mAITcNt710,https://img.youtube.com/vi/8mAITcNt710/maxresdefault.jpg,English,"Programming,Algorithms,C,Python",4.9,2024-01-09
10,Data Structures and Algorithms,Complete DSA course for programming interviews,freeCodeCamp,Computer Science,Intermediate,8 hours,https://youtu.be/RBSGKlAvoiM,https://www.youtube.com/embed/RBSGKlAvoiM,https://img.youtube.com/vi/RBSGKlAvoiM/maxresdefault.jpg,English,"Algorithms,Data Structures,Programming",4.6,2024-01-10
11,UI/UX Design Fundamentals,Complete UI/UX design course for beginners,Google UX Design,Design,Beginner,30 hours,https://www.coursera.org/professional-certificates/google-ux-design,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/gY2n6a3lR5-LNDFpIHGWCg_b94d89c72a5e4a33a68ae7b7b87fdf9c_UX-Design-Certificate-Logo.png,English,"UI Design,UX Design,Figma,Prototyping",4.5,2024-01-11
12,Graphic Design Basics,Fundamentals of graphic design and visual communication,California Institute of the Arts,Design,Beginner,20 hours,https://www.coursera.org/learn/fundamentals-of-graphic-design,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/tOV_MUKYEeWQXhILd0SdCw_4bc16600463e48e084f4b79c3df89976_CalArts_GraphicDesign_SpecLogo_600x400.png,English,"Graphic Design,Typography,Adobe",4.4,2024-01-12
13,Cybersecurity Fundamentals,Introduction to cybersecurity concepts and practices,IBM,Cybersecurity,Beginner,25 hours,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,,https://d3c33hcgiwev3.cloudfront.net/imageAssetProxy.v1/uQDOGa4oEei5YQ6FnP9oqQ_f3c4f6f0b3ce4c0ca1b4e8b1e0b2e6a4_IBM-Logo.png,English,"Security,Network Security,Encryption",4.3,2024-01-13
14,Ethical Hacking Course,Complete ethical hacking and penetration testing course,Cybrary,Cybersecurity,Advanced,40 hours,https://www.cybrary.it/course/ethical-hacking,,https://cdn.cybrary.it/wp-content/uploads/2019/06/ethical-hacking-course-image.jpg,English,"Ethical Hacking,Penetration Testing,Security",4.2,2024-01-14
15,Flutter Development Course,Complete Flutter mobile app development course,freeCodeCamp,Mobile Development,Beginner,12 hours,https://youtu.be/VPvVD8t02U8,https://www.youtube.com/embed/VPvVD8t02U8,https://img.youtube.com/vi/VPvVD8t02U8/maxresdefault.jpg,English,"Flutter,Dart,Mobile Development",4.5,2024-01-15
16,React Native Tutorial,Build mobile apps with React Native,Programming with Mosh,Mobile Development,Intermediate,8 hours,https://youtu.be/0-S5a0eXPoc,https://www.youtube.com/embed/0-S5a0eXPoc,https://img.youtube.com/vi/0-S5a0eXPoc/maxresdefault.jpg,English,"React Native,Mobile,JavaScript",4.6,2024-01-16
